id;rating;comment;created_date
1;3;../fake-data/blob/hipster.txt;2026-07-15T01:30:39
2;3;../fake-data/blob/hipster.txt;2026-07-14T21:10:44
3;1;../fake-data/blob/hipster.txt;2026-07-15T13:59:12
4;5;../fake-data/blob/hipster.txt;2026-07-15T02:37:04
5;4;../fake-data/blob/hipster.txt;2026-07-14T17:24:31
6;1;../fake-data/blob/hipster.txt;2026-07-15T06:26:11
7;5;../fake-data/blob/hipster.txt;2026-07-15T10:02:54
8;5;../fake-data/blob/hipster.txt;2026-07-15T11:05:16
9;5;../fake-data/blob/hipster.txt;2026-07-14T21:25:12
10;2;../fake-data/blob/hipster.txt;2026-07-14T14:47:57
11;5;../fake-data/blob/hipster.txt;2026-07-15T08:13:37
12;2;../fake-data/blob/hipster.txt;2026-07-14T14:22:29
13;1;../fake-data/blob/hipster.txt;2026-07-14T19:57:30
14;2;../fake-data/blob/hipster.txt;2026-07-15T04:00:13
15;3;../fake-data/blob/hipster.txt;2026-07-14T21:04:55
16;1;../fake-data/blob/hipster.txt;2026-07-15T14:04:20
17;1;../fake-data/blob/hipster.txt;2026-07-15T00:31:33
18;3;../fake-data/blob/hipster.txt;2026-07-14T22:05:47
19;2;../fake-data/blob/hipster.txt;2026-07-14T15:29:56
20;5;../fake-data/blob/hipster.txt;2026-07-15T00:38:19
21;3;../fake-data/blob/hipster.txt;2026-07-15T14:13:00
22;3;../fake-data/blob/hipster.txt;2026-07-15T03:16:44
23;3;../fake-data/blob/hipster.txt;2026-07-15T04:30:53
24;1;../fake-data/blob/hipster.txt;2026-07-15T03:42:44
25;5;../fake-data/blob/hipster.txt;2026-07-15T11:27:28
26;1;../fake-data/blob/hipster.txt;2026-07-15T05:08:45
27;3;../fake-data/blob/hipster.txt;2026-07-15T11:38:05
28;1;../fake-data/blob/hipster.txt;2026-07-14T19:46:45
29;1;../fake-data/blob/hipster.txt;2026-07-15T06:21:19
30;2;../fake-data/blob/hipster.txt;2026-07-15T11:42:23
